Player,Pos,Summary,Year
Jim Edwards,WR,"8 Rec, 114 Yds, 14.3 Avg",1985
Scott Norberg,WR,"21 Rec, 281 Yds, 13.4 Avg",1985
David Miles,WR,"8 Rec, 86 Yds, 10.8 Avg",1985
Keith Doman,WR,"3 Rec, 53 Yds, 17.7 Avg",1985
Trevor Molini,TE,"63 Rec, 849 Yds, 13.5 Avg",1985
Lance Lindley,TE,"13 Rec, 120 Yds, 9.2 Avg",1985
George Tavita,TE,"3 Rec, 35 Yds, 11.7 Avg",1985
John Borgia,OL,,1985
Keith McCullough,OL,,1985
Scott Robinson,OL,,1985
Dave Tidwell,OL,,1985
Dave Wright,OL,,1985
Mark Ormsby,K,,1985
Gary Webster,K,,1985
Jason Buck,DL,,1985
Shawn Knight,DL,,1985
Ken Smith,DL,,1985
David Futrell,DL,,1985
Ladd Akeo,LB,,1985
Kurt Gouveia,LB,,1985
Leon White,LB,,1985
Cary Whittingham,LB,,1985
Steve Sanders,LB,,1985
Rob Ledenko,DB,,1985
